,# BATH,# BED,# BLDG,# COMM,# FIREPLACE,# FLOORS,# POWDER,# ROOMS,# UNITS,# UNITS.1,ADDRESS,AIRPORT NOISE,ATTIC,ATTIC COND,BASEMENT,BASEMENT COND,BATH,BED,BLDG ASSD $ PY,BLDG CAT,BLDG CODE,BLDG CODE DEF,BLDG CODE.1,CATHEDRAL CEILING,CENTRAL AIR,CENTRAL AIR ,CENTRAL HEATING,CITY,CONST QUALITY,Deed No.,ENCLOSED PORCH,EXT MATERIAL,FEMA,GARAGE 1,GARAGE 1 AREA,GARAGE 1 MATERIAL,GARAGE AREA,GARAGE ATTACHED,GSF,INT COND,LAND ASSD $ PY,LAND ASSD $ py,LAND SF,LATITUDE,LONGITUDE,Modeling Group,NEIGHBORHOOD,Near Major Road,OTHER HEATING,PIN,ROOF MATERIAL,STATE,Sale Date,TAX YEAR,TOWN,Total Building Square Feet,Town and Neighborhood,YEAR BUILT,ZIP,SALE PRICE,SALE DATE,PROPERTY TYPE
20,2.0,4.0,2.0,0.0,1.0,2,0.0,8.0,2.0,,2547 WEST HOMER STREET,0.0,1.0,3.0,1.0,1.0,,,"373,390",2,211,MULTI: 2 TO 6 UNITS,2.0,0.0,,0.0,2.0,,2.0,1914347073.0,0.0,1.0,0.0,1.5,nan,1.0,0.0,0,,2.0,,"75,880",2976,41.91636891,-87.69166265,MF,30.0,0.0,5.0,13364100000000,2.0,,1/1/2020,2019.0,77.0,,7730.0,135.0,,400000.0,2020-02-13 00:00:00,Apartment house (5+ units)
21,2.0,3.0,2.0,0.0,2.0,2,1.0,5.0,0.0,,1811 NORTH ROCKWELL STREET,0.0,3.0,0.0,3.0,1.0,,,"408,150",2,295,TOWNHOUSE,1.0,2.0,,1.0,1.0,,2.0,1915134011.0,0.0,2.0,0.0,1.5,nan,2.0,1.0,1,,2.0,,"36,640",1437,41.91426161,-87.69093753,SF,30.0,0.0,5.0,13364200000000,2.0,,1/1/2020,2019.0,77.0,,7730.0,19.0,,525000.0,2020-02-24 00:00:00,Townhouse
22,3.0,6.0,2.0,0.0,1.0,3,1.0,12.0,2.0,,2107 WEST MONTROSE AVENUE,0.0,3.0,0.0,1.0,1.0,,,"591,220",3,211,MULTI: 2 TO 6 UNITS,2.0,2.0,,1.0,1.0,,2.0,1916149150.0,0.0,2.0,0.0,1.5,nan,2.0,0.0,0,,2.0,,"150,000",3125,41.96115397,-87.68174523,MF,42.0,0.0,5.0,14183100000000,2.0,,1/1/2020,2019.0,73.0,,7342.0,116.0,,1150000000.0,2020-01-29 00:00:00,Apartment house (5+ units)
23,2.0,3.0,2.0,0.0,1.0,1.5,0.0,7.0,2.0,,4022 NORTH CAMPBELL AVENUE,0.0,1.0,2.0,1.0,3.0,,,"349,520",5,211,MULTI: 2 TO 6 UNITS,2.0,2.0,,0.0,2.0,,2.0,1919608032.0,1.0,1.0,0.0,1.5,nan,1.0,0.0,0,,2.0,,"69,600",2900,41.95477342,-87.69126877,MF,110.0,0.0,5.0,13134200000000,1.0,,1/1/2020,2019.0,71.0,,71110.0,105.0,,360000.0,2019-07-15 00:00:00,Apartment house (5+ units)
24,1.0,3.0,2.0,0.0,1.0,1.5,6.0,5.0,0.0,,5304 NORTH MOODY AVENUE,0.0,1.0,1.0,1.0,1.0,,,"265,640",5,203,MEDIUM 1 STORY,1.0,0.0,,0.0,1.0,,2.0,1920446145.0,0.0,2.0,0.0,0,nan,0.0,0.0,0,,2.0,,"77,750",6220,41.97774778,-87.78269347,SF,430.0,0.0,5.0,13081200000000,1.0,,1/1/2020,2019.0,71.0,,71430.0,71.0,,162000.0,2019-07-23 00:00:00,Single Family Residence
25,2.0,4.0,2.0,0.0,1.0,2,0.0,8.0,2.0,,4311 NORTH MASON AVENUE,0.0,3.0,0.0,1.0,3.0,,,"244,060",2,211,MULTI: 2 TO 6 UNITS,2.0,0.0,,0.0,1.0,,2.0,1921249018.0,1.0,2.0,0.0,1.5,nan,1.0,0.0,0,,2.0,,"54,370",3750,41.95894703,-87.77540065,MF,90.0,0.0,5.0,13174000000000,2.0,,1/1/2020,2019.0,71.0,,7190.0,94.0,,400000.0,2020-01-30 00:00:00,Apartment house (5+ units)
26,1.0,3.0,2.0,0.0,1.0,2,1.0,6.0,0.0,,5930 NORTH DRAKE AVENUE,0.0,2.0,3.0,1.0,1.0,,,"253,030",2,205,2 OR MORE STORIES,1.0,0.0,,1.0,1.0,,2.0,1922134067.0,0.0,2.0,0.0,1,nan,3.0,0.0,1,,2.0,,"81,560",5625,41.98931688,-87.71796367,SF,50.0,0.0,2.0,13024000000000,2.0,,1/1/2020,2019.0,71.0,,7150.0,69.0,,356000.0,2020-02-04 00:00:00,Single Family Residence
27,1.0,3.0,2.0,0.0,2.0,1.5,0.0,5.0,0.0,,1657 NORTH MENARD AVENUE,0.0,1.0,1.0,1.0,3.0,,,"136,220",5,203,MEDIUM 1 STORY,1.0,2.0,,0.0,1.0,,2.0,1922449226.0,0.0,2.0,0.0,1.5,nan,1.0,0.0,0,,2.0,,"49,730",4521,41.9110024,-87.76999954,SF,210.0,0.0,5.0,13324100000000,1.0,,1/1/2020,2019.0,71.0,,71210.0,98.0,,245000.0,2020-02-11 00:00:00,Single Family Residence
28,1.0,3.0,2.0,0.0,1.0,1,0.0,5.0,0.0,,5731 WEST AINSLIE STREET,0.0,3.0,0.0,2.0,3.0,,,"266,420",1,203,MEDIUM 1 STORY,1.0,0.0,,0.0,1.0,,2.0,1922749485.0,0.0,1.0,0.0,0,nan,0.0,0.0,0,,2.0,,"60,400",4166,41.96928144,-87.77150774,SF,402.0,0.0,5.0,13084300000000,1.0,,1/1/2020,2019.0,71.0,,71402.0,94.0,,490000.0,2020-02-13 00:00:00,Single Family Residence
29,2.0,3.0,2.0,0.0,2.0,2,0.0,6.0,0.0,,3323 NORTH OAKLEY AVENUE,0.0,2.0,3.0,1.0,3.0,,,"636,130",2,205,2 OR MORE STORIES,1.0,2.0,,1.0,2.0,,2.0,1922845039.0,1.0,1.0,0.0,1.5,nan,1.0,0.0,0,,2.0,,"161,200",3100,41.94205318,-87.68534878,SF,70.0,0.0,5.0,14193200000000,1.0,,1/1/2020,2019.0,73.0,,7370.0,94.0,,560000.0,2020-02-06 00:00:00,Single Family Residence
30,1.0,2.0,2.0,0.0,1.0,2,0.0,5.0,0.0,,3104 NORTH OCTAVIA AVENUE,0.0,3.0,0.0,2.0,3.0,,,"200,610",2,205,2 OR MORE STORIES,1.0,0.0,,0.0,1.0,,2.0,1923422064.0,0.0,2.0,0.0,1,nan,1.0,0.0,0,,2.0,,"66,500",5320,41.93654137,-87.80950412,SF,371.0,0.0,5.0,12252100000000,1.0,,1/1/2020,2019.0,71.0,,71371.0,73.0,,265000.0,2020-02-03 00:00:00,Single Family Residence
31,2.0,4.0,2.0,0.0,2.0,2,2.0,8.0,0.0,,3124 WEST COLUMBIA AVENUE,0.0,3.0,0.0,1.0,1.0,,,"507,360",2,278,2 OR MORE STORIES,1.0,1.0,,1.0,1.0,,2.0,1923834056.0,0.0,1.0,0.0,1.5,nan,3.0,1.0,1,,2.0,,"61,740",4258,42.00446076,-87.70802619,SF,40.0,1.0,5.0,10363300000000,1.0,,1/1/2020,2019.0,75.0,,7540.0,16.0,,605000.0,2020-02-14 00:00:00,Single Family Residence
32,1.0,2.0,2.0,0.0,1.0,1,0.0,4.0,0.0,,3811 NORTH KENNETH AVENUE,0.0,3.0,0.0,1.0,3.0,,,"321,450",1,202,SMALL 1 STORY,1.0,0.0,,0.0,1.0,,2.0,1924649045.0,0.0,2.0,0.0,1.5,nan,1.0,0.0,0,,2.0,,"60,000",3750,41.95024615,-87.7390692,SF,74.0,0.0,5.0,13221100000000,1.0,,1/1/2020,2019.0,71.0,,7174.0,59.0,,282000.0,2020-02-04 00:00:00,Single Family Residence
33,1.0,3.0,2.0,0.0,1.0,1.5,1.0,7.0,0.0,,4826 WEST BALMORAL AVENUE,0.0,2.0,1.0,1.0,3.0,,,"242,740",5,203,MEDIUM 1 STORY,1.0,2.0,,1.0,1.0,,2.0,1925608022.0,0.0,3.0,0.0,1.5,nan,1.0,0.0,0,,2.0,,"60,750",4500,41.97926444,-87.74927038,SF,560.0,0.0,2.0,13092100000000,1.0,,1/1/2020,2019.0,71.0,,71560.0,79.0,,347000.0,2020-02-10 00:00:00,Single Family Residence
34,1.0,2.0,2.0,0.0,1.0,1,0.0,4.0,0.0,,7232 NORTH ORIOLE AVENUE,0.0,3.0,0.0,1.0,3.0,,,"25,570",1,202,SMALL 1 STORY,1.0,2.0,,1.0,1.0,,2.0,,1.0,2.0,0.0,0,nan,0.0,0.0,0,,2.0,,"50,220",3720,42.01245925,-87.81672603,SF,361.0,0.0,5.0,9253280000000,1.0,,1/1/2020,2019.0,71.0,,71361.0,64.0,,575000.0,2020-01-28 00:00:00,Single Family Residence
35,3.0,4.0,2.0,0.0,1.0,2,0.0,10.0,2.0,,7237 WEST HOWARD STREET,0.0,3.0,0.0,1.0,1.0,,,"344,330",2,211,MULTI: 2 TO 6 UNITS,2.0,0.0,,0.0,2.0,,2.0,,0.0,2.0,0.0,1.5,nan,1.0,0.0,0,,2.0,,"50,620",3750,42.01867044,-87.80804257,MF,361.0,0.0,5.0,9254060000000,1.0,,1/1/2020,2019.0,71.0,,71361.0,61.0,,400000.0,2020-02-14 00:00:00,Apartment house (5+ units)
36,1.0,3.0,2.0,0.0,1.0,1,0.0,6.0,0.0,,6910 NORTH OTTAWA AVENUE,0.0,3.0,0.0,1.0,1.0,,,"309,030",1,203,MEDIUM 1 STORY,1.0,0.0,,0.0,2.0,,2.0,,0.0,2.0,0.0,1.5,nan,1.0,0.0,0,,2.0,,"55,590",4118,42.0063721,-87.81795720000001,SF,362.0,0.0,5.0,9361050000000,1.0,,1/1/2020,2019.0,71.0,,71362.0,92.0,,230000.0,2020-02-06 00:00:00,Single Family Residence
37,4.0,8.0,2.0,0.0,1.0,3,0.0,20.0,4.0,,6827 NORTH NORTHWEST HIGHWAY,0.0,3.0,0.0,1.0,2.0,,,"548,640",3,211,MULTI: 2 TO 6 UNITS,2.0,0.0,,0.0,2.0,,2.0,,0.0,2.0,0.0,1.5,nan,2.0,0.0,0,,2.0,,"75,600",5600,42.00523014,-87.81944146,MF,362.0,1.0,5.0,9361080000000,2.0,,1/1/2020,2019.0,71.0,,71362.0,94.0,,775000.0,2020-02-24 00:00:00,Apartment house (5+ units)
38,1.0,3.0,2.0,0.0,1.0,1,0.0,6.0,0.0,,7741 WEST COLUMBIA AVENUE,0.0,3.0,0.0,1.0,3.0,,,"213,510",1,203,MEDIUM 1 STORY,1.0,0.0,,0.0,1.0,,2.0,,0.0,2.0,0.0,1.5,nan,1.0,0.0,0,,2.0,,"42,180",3125,42.00251791,-87.82054882,SF,362.0,0.0,5.0,9363070000000,1.0,,1/1/2020,2019.0,71.0,,71362.0,63.0,,358000.0,2020-01-30 00:00:00,Single Family Residence
